param,training_score,testing_score,precision_draw,precision_lose,precision_win,recall_draw,recall_lose,recall_win,f1_draw,f1_lose,f1_win,n_estimators
Serie-A_WilliamHill_ori_4_svm,0.591729406554473,0.5924941879774162,0.48,0.63,0.61,0.29,0.55,0.81,0.36,0.59,0.69,N/A
Serie-A_WilliamHill_ori_4_knn,0.9988374667847653,0.7371305214214546,0.67,0.73,0.78,0.68,0.74,0.77,0.68,0.74,0.78,5
Serie-A_WilliamHill_ori_4_nn,0.55369794,0.5528064,0.59,0.55,0.55,0.04,0.64,0.82,0.07,0.59,0.66,N/A
Serie-A_WilliamHill_ori_3_rf,0.9980070859167405,0.7125539687811359,0.63,0.76,0.78,0.71,0.71,0.76,0.66,0.73,0.77,N/A
Serie-A_WilliamHill_ori_3_svm,0.5915633303808681,0.5926602457655264,0.48,0.64,0.61,0.29,0.54,0.82,0.37,0.59,0.69,N/A
Serie-A_WilliamHill_ori_3_knn,0.9981731620903455,0.7236798405845234,0.66,0.73,0.76,0.67,0.73,0.75,0.66,0.73,0.76,5
Serie-A_WilliamHill_ori_3_nn,0.58403456,0.58402526,0.5,0.59,0.6,0.27,0.61,0.76,0.35,0.6,0.67,N/A
Serie-A_WilliamHill_alt_4_rf,0.9985257695482957,0.7343003714841677,0.64,0.77,0.82,0.7,0.73,0.79,0.67,0.75,0.81,N/A
Serie-A_WilliamHill_alt_4_svm,0.5929354876754335,0.5849991155138864,0.47,0.63,0.6,0.3,0.55,0.8,0.36,0.59,0.68,N/A
Serie-A_WilliamHill_alt_4_knn,0.9988795848567048,0.7178489297718026,0.65,0.71,0.77,0.66,0.72,0.76,0.65,0.71,0.76,5
Serie-A_WilliamHill_alt_4_nn,0.5853874,0.5796922,0.51,0.6,0.58,0.2,0.58,0.82,0.29,0.59,0.68,N/A
Serie-A_WilliamHill_alt_3_rf,0.9977002004953415,0.7013974880594375,0.61,0.75,0.79,0.69,0.7,0.76,0.64,0.72,0.78,N/A
Serie-A_WilliamHill_alt_3_svm,0.5954711640523647,0.586944984963736,0.49,0.63,0.59,0.28,0.56,0.8,0.36,0.6,0.68,N/A
